RUT,NOMBRE,CLASIFICACION
61606913-6,SERVICIO DE SALUD DEL MAULE HOSPITAL DE CAUQUENES,OTRO MUNICIPAL
61606915-2,SERVICIO DE SALUD DEL MAULE HOSPITAL DE,OTRO MUNICIPAL
61606918-7,SERVICIO DE SALUD DEL MAULE HOSPITAL DE PARRAL,OTRO MUNICIPAL
61607000-2,SERVICIO DE SALUD NUBLE,OTRO MUNICIPAL
61607002-9,SERVICIO DE SALUD NUBLE HOSPITAL DE SAN CARLOS DR BENICIO ARZOLA MEDINA,OTRO MUNICIPAL
61607003-7,HOSPITAL COMUNITARIO DE SALUD FAMILIAR DE BULNES,OTRO MUNICIPAL
61607004-5,SERVICIO DE SALUD NUBLE HOSPITAL DE YUNG,OTRO MUNICIPAL
61607005-3,SERVICIO DE SALUD NUBLE HOSPITAL DE QUIRIHUE,OTRO MUNICIPAL
61607006-1,SERVICIO DE SALUD NUBLE HOSPITAL DE EL C,OTRO MUNICIPAL
61607100-9,SERVICIO DE SALUD CONCEPCION,OTRO MUNICIPAL
61607200-5,DIRECCION SERVICIO DE SALUD TALCAHUANO,OTRO MUNICIPAL
61607201-3,SERVICIO DE SALUD TALCAHUANO HOSPITAL DE,OTRO MUNICIPAL
61607202-1,SERVICIO DE SALUD DE TALCAHUANO HOSPITAL,OTRO MUNICIPAL
61607300-1,SERVICIO DE SALUD BIO BIO,OTRO MUNICIPAL
61607302-8,SERVICIO DE SALUD BIO BIO HOSPITAL DE MULCHEN,OTRO MUNICIPAL
61607304-4,SERVICIO DE SALUD BIO BIO HOSPITAL SANTA BARBARA,OTRO MUNICIPAL
61607305-2,SERVICIO DE SALUD BIO BIO HOSPITAL DE HU,OTRO MUNICIPAL
61607306-0,SERVICIO DE SALUD BIO BIO HOSPITAL DE LAJA,OTRO MUNICIPAL
61607307-9,SERVICIO DE SALUD BIO BIO HOSPITAL DE YU,OTRO MUNICIPAL
61607400-8,SERVICIO DE SALUD ARAUCANIA SUR,OTRO MUNICIPAL
61607401-6,SERVICIO DE SALUD ARAUCANIA SUR HOSPITAL DE NUEVA IMPERIAL,OTRO MUNICIPAL
61607402-4,SERVICIO DE SALUD ARAUCANIA HOSPITAL LON,OTRO MUNICIPAL
61607500-4,SERVICIO DE SALUD LOS RIOS,OTRO MUNICIPAL
61607502-0,SERVICIO DE SALUD VALDIVIA HOSPITAL BASE,OTRO MUNICIPAL
61607503-9,SERVICIO DE SALUD LOS RIOS HOSPITAL LA UNIÓN,OTRO MUNICIPAL
61607504-7,SERVICIO DE SALUD VALDIVIA HOSPITAL LANC,OTRO MUNICIPAL
61607505-5,SERVICIO DE SALUD VALDIVIA HOSPITAL DE C,OTRO MUNICIPAL
61607507-1,SERVICIO DE SALUD LOS RIOS HOSPITAL DE P,OTRO MUNICIPAL
61607508-K,SERVICIO DE SALUD LOS RIOS HOSPITAL DE RIO BUENO,OTRO MUNICIPAL
61607509-8,SERVICIO DE SALUD LOS RIOS HOSPITAL DE LOS LAGOS,OTRO MUNICIPAL
61607600-0,SERVICIO DE SALUD OSORNO,OTRO MUNICIPAL
61607700-7,SERVICIO SALUD DEL RELONCAVI,OTRO MUNICIPAL
61607800-3,SERVICIO DE SALUD AYSEN CARLOS IBANEZ DEL CAMPO,OTRO MUNICIPAL
61607900-K,SERVICIO DE SALUD MAGALLANES,OTRO MUNICIPAL
61607903-4,SERVICIO DE SALUD MAGALLANES HOSPITAL DE PORVENIR,OTRO MUNICIPAL
61607904-2,SERVICIO DE SALUD MAGALLANES HOSPITAL DE PTO NATALES,OTRO MUNICIPAL
61608000-8,SERVICIO DE SALUD METROPOLITANO NORTE,OTRO MUNICIPAL
61608001-6,I MUNICIPALIDAD DE RECOLETA CEMENTERIO G,MUNI
61608002-4,SERVICIO DE SALUD METROPOLITANA NORTE HOSPITAL SAN JOSE,OTRO MUNICIPAL
61608004-0,SERVICIO DE SALUD NORTE HOSPITAL ROBERTO DEL RIO,OTRO MUNICIPAL
61608005-9,SERVICIO DE SALUD NORTE SERVICIO DE BIENESTAR,OTRO MUNICIPAL
61608006-7,SERVICIO DE SALUD METROPOLITANO NORTE HOSPITAL DE TIL TIL,OTRO MUNICIPAL
61608101-2,SERVICIO DE SALUD METROPOLITANO SUR HOSP,OTRO MUNICIPAL
61608102-0,SERVICIO DE SALUD SUR HOSPITAL EXEQUIEL,OTRO MUNICIPAL
61608104-7,SERVICIO DE SALUD SUR HOSPITAL LUCIO CORDOVA,OTRO MUNICIPAL
61608105-5,SERVICIO DE SALUD SUR HOSPITAL SAN LUIS,OTRO MUNICIPAL
61608106-3,SERVICIO DE SALUD SUR HOSPITAL SANATORIO,OTRO MUNICIPAL
61608107-1,SERVICIO DE SALUD SUR HOSPITAL SANATORIO EL PINO,OTRO MUNICIPAL
61608108-K,SERVICIO DE SALUD SUR UNIDAD HOSPITALARI,OTRO MUNICIPAL
61608200-0,SERVICIO SALUD METROPOLITANO OCCIDENTE,OTRO MUNICIPAL
61608203-5,SERVICIO DE SALUD OCCIDENTE INSTITUTO TRAUMATOLOGICO DE SANTIAGO,OTRO MUNICIPAL
61608204-3,SERVICIO DE SALUD OCCIDENTE HOSPITAL SAN JUAN DE DIOS,OTRO MUNICIPAL
61608205-1,SERVICIO SALUD OCCIDENTE HOSPITAL DR FELIX BULNES CERDA,OTRO MUNICIPAL
61608400-3,DIRECCION SERVICIO SALUD METROPOLITANO O,OTRO MUNICIPAL
61608406-2,SERVICIO DE SALUD ORIENTE HOSPITAL DEL SALVADOR,OTRO MUNICIPAL
61608407-0,SERVICIO DE SALUD ORIENTE INST NEUROCIRUGIA E INVEST CEREBRALES,OTRO MUNICIPAL
61608408-9,SERVICIO DE SALUD ORIENTE HOSPITAL LUIS CALVO MACKENNA,OTRO MUNICIPAL
61608500-K,SERVICIO DE SALUD METROPOLITANO SUR ORIENTE,OTRO MUNICIPAL
61608503-4,SERVICIO DE SALUD SUR ORIENTE-HOSPITAL SANATORIO SAN JOSE DE MAIPO,OTRO MUNICIPAL
61608600-6,SERVICIO DE SALUD METROPOLITANO CENTRAL,OTRO MUNICIPAL
61608604-9,SERV SALUD METROPOLITANO CENTRAL HOSPITAL CLINICO SAN BORJA ARRIARAN,OTRO MUNICIPAL
61608605-7,SERVICIO DE SALUD METROPOLI CENTRAL DIRECCION DE ATENCION PRIMARIA,OTRO MUNICIPAL
61608700-2,CENTRAL DE ABASTECIMIENTO DEL SISTEMA NACIONAL DE SERVICIO DE SALUD,OTRO MUNICIPAL
61929100-K,DEPARTAMENTO DE SALUD MUNICIPAL DE FLORIDA,OTRO MUNICIPAL
61930600-7,DEPARTAMENTO DE ADMINISTRACION DE  EDUCACION MUNICIPAL,OTRO MUNICIPAL
61931500-6,DEPARTAMENTO PROVINCIAL DE EDUCA   CION LINARES,OTRO MUNICIPAL
61932200-2,DEPARTAMENTO DE SALUD MUNICIPALIDAD DE COCHAMO,MUNI
61933400-0,CENTRO REFERENCIAL DE SALUD DR SALVADOR ALLENDE GOSSENS,OTRO MUNICIPAL
61935600-4,CENTRO DE EDUCACION Y TRABAJO DE CANETE,OTRO MUNICIPAL
61935700-0,GENDARMERIA DE CHILE CENTRO DE EDUCACION Y TRABAJO DE MULCHEN,OTRO MUNICIPAL
61938100-9,GENDARMERIA DE CHILE-CENTRO EDUCACION Y TRABAJO SEMI ABIERTO VICTORIA,OTRO MUNICIPAL
61938200-5,GENDARMERIA DE CHILE CENTRO DE EDUCACION Y TRABAJO C R S ANGOL,OTRO MUNICIPAL
61939400-3,CENTRO DE EDUCACION Y TRABAJO COLINA I,OTRO MUNICIPAL
61941500-0,GENDARMERIA DE CHILE CENTRO DE EDUCACION Y TRABAJO DE YUMBEL,OTRO MUNICIPAL
61946900-3,CENTRO DE EDUCACION Y TRABAJO DE GENDARMERIA DE CHILE,OTRO MUNICIPAL
61947700-6,DEPARTAMENTO PROVINCIAL DE EDUCACION COYHAIQUE,OTRO MUNICIPAL
61948800-8,CENTRO DE EDUCACION Y TRABAJO DE ANGOL,OTRO MUNICIPAL
61950100-4,GENDARMERIA DE CHILE CENTRO DE EDUCACION Y TRABAJO,OTRO MUNICIPAL
61950500-K,GENDARMERIA DE CHILE CENTRO DE EDUCACION Y TRABAJO DE OSORNO,OTRO MUNICIPAL
61950800-9,DIRECCION DE SEGURIDAD Y OPERACIONES MARITIMAS,OTRO MUNICIPAL
61953200-7,CENTRO DE REFERENCIA DE SALUD DE PENALOLEN CORDILLERA ORIENTE,OTRO MUNICIPAL
61954500-1,SERVICIO DE SALUD ARAUCO,OTRO MUNICIPAL
61955000-5,I MUNICIPALIDAD DE PADRE LAS CASAS,MUNI
61955100-1,SERVICIO DE SALUD ARAUCANIA NORTE,OTRO MUNICIPAL
61956900-8,CENTRO DE EDUCACION Y TRABAJO C P F METROPOLITANO,OTRO MUNICIPAL
61957500-8,GENDARMERIA DE CHILE CENTRO DE EDUCACION Y TRABAJO C C P DE VICTORIA,OTRO MUNICIPAL
61958100-8,GENDARMERIA DE CHILE CENTRO DE EDUCACION Y TRABAJO C C P NVA IMPERIAL,OTRO MUNICIPAL
61959200-K,CENTRO DE EDUCACION Y TRABAJO PUERTO AISEN,OTRO MUNICIPAL
61959600-5,GENDARMERIA DE CHILE CENTRO DE EDUCACION Y TRABAJO C P F TEMUCO,OTRO MUNICIPAL
61960400-8,GENDARMERIA DE CHILE CENTRO DE EDUCACION Y TRABAJO C C P DE TEMUCO,OTRO MUNICIPAL
61967400-6,MUNICIPALIDAD DE MULCHEN DIRECCION DE SALUD MUNICIPAL,MUNI
61969000-1,CENTRO DE EDUCACION Y TRABAJO CAMINO LA POLVORA,OTRO MUNICIPAL
61970100-3,GENDARMERIA DE CHILE CENTRO DE EDUCACION Y TRABAJO C C P LAUTARO,OTRO MUNICIPAL
61972100-4,UNIDAD OPERATIVA DE CONTROL DE TRANSITO,OTRO MUNICIPAL
61972800-9,DEPARTAMENTO SALUD MUNICIPALIDAD DE QUILLON,MUNI
61972900-5,CENTRO DE EDUCACION Y TRABAJO DE PUNTA ARENAS,OTRO MUNICIPAL
61974600-7,DIRECCION SALUD RURAL,OTRO MUNICIPAL
61975100-0,HOSPITAL PUERTO MONTT SERVICIO DE SALUD DEL RELONCAVI,OTRO MUNICIPAL
61975800-5,HOSPITAL ANCUD SERVICIO DE SALUD CHILOE,OTRO MUNICIPAL
61976000-K,ILUSTRE MUNICIPALIDAD DE ALTO BIOBIO DEPARTAMENTO EDUCACION,MUNI
61977660-7,JEFATURA DE INSTALACIONES DE SALUD DEL EJERCITO,OTRO MUNICIPAL
61979080-4,SECRETARIA REGIONAL MINISTERIAL DE EDUCACION DE ARICA Y PARINACOTA,OTRO MUNICIPAL
61979130-4,DEPARTAMENTO PROVINCIAL DE EDUCACION DE RANCO,OTRO MUNICIPAL
61979210-6,SERVICIO DE SALUD CHILOE,OTRO MUNICIPAL
61979290-4,COMPLEJO EDUCACIONAL IGNAO,OTRO MUNICIPAL
61979960-7,DIRECCION DE EDUCACION DOCTRINA E HISTORIA DE CARABINEROS,OTRO MUNICIPAL
61980210-1,ADMINISTRADOR FINANCIERO DEL SISTEMA DE SALUD DE LA ARMADA,OTRO MUNICIPAL
61980220-9,SUPERINTENDENCIA DE EDUCACION ESCOLAR,OTRO MUNICIPAL
61980230-6,AGENCIA DE CALIDAD DE LA EDUCACION,OTRO MUNICIPAL
61980390-6,CENTRO DE EDUCACION Y TRABAJO,OTRO MUNICIPAL
61980420-1,CENTRAL DE ATENCION PRIMARIA DE SALUD DE LA ARMADA,OTRO MUNICIPAL
61980510-0,CENTRO DE EDUCACION Y TRABAJO CERRADO DEL C.P DE PUNTA ARENAS,OTRO MUNICIPAL
61980540-2,SUBSECRETARIA DE EDUCACION PARVULARIA,OTRO MUNICIPAL
61980560-7,CENTRO DE EDUCACION Y TRABAJO SEMIABIERTO DE POZO ALMONTE,OTRO MUNICIPAL
61980610-7,CORPORACION EDUCACIONAL SAN LUIS DE RANCAGUA,OTRO MUNICIPAL
61980620-4,CENTRO DE REFERENCIA DE SALUD HOSPITAL PROVINCIA CORDILLERA,OTRO MUNICIPAL
61980740-5,CENTRO DE SALUD FAMILIAR RIO NEGRO HORNOPIREN,OTRO MUNICIPAL
61980880-0,MACRO ZONA SALUD SANTIAGO CENTRO ORIENTE,OTRO MUNICIPAL
61980890-8,MACROZONA DE SALUD SANTIAGO CENTRO PONIENTE,OTRO MUNICIPAL
61999050-1,MACROZONA DE SALUD ARICA,OTRO MUNICIPAL
61999060-9,CORPORACION EDUCACIONAL NUEVO MUNDO,OTRO MUNICIPAL
61999070-6,CORPORACION EDUCACIONAL DOS MUNDOS,OTRO MUNICIPAL
61999130-3,MACRO ZONA DE SALUD SANTIAGO CENTRO NORTE,OTRO MUNICIPAL
61999170-2,CORPORACION EDUCACIONAL NOBEL SCHOOL,OTRO MUNICIPAL
61999190-7,MACROZONA DE SALUD CONCEPCION,OTRO MUNICIPAL
61999200-8,CORPORACION EDUCACIONAL ANTUKUYEN,OTRO MUNICIPAL
61999320-9,SERVICIO LOCAL DE EDUCACION DE PUERTO CORDILLERA,OTRO MUNICIPAL
62000480-4,SECRETARIA REGIONAL MINISTERIAL DE EDUCACION DE LA REGION DE ÑUBLE,OTRO MUNICIPAL
62000580-0,SUPERINTENDENCIA DE EDUCACION SUPERIOR,OTRO MUNICIPAL
62000640-8,CENTRO DE SALUD MENTAL COMUNITARIA SAN FELIPE,OTRO MUNICIPAL
62000650-5,SERVICIO LOCAL DE EDUCACION PUBLICA DE GABRIELA MISTRAL,OTRO MUNICIPAL
62000660-2,SERVICIO LOCAL DE EDUCACION PUBLICA DE CHINCHORRO,OTRO MUNICIPAL
62000790-0,SERVICIO LOCAL DE EDUCACION PUBLICA DE COLCHAGUA,OTRO MUNICIPAL
62000800-1,SERVICIO LOCAL DE EDUCACION PUBLICA DE LLANQUIHUE,OTRO MUNICIPAL
62000810-9,SERVICIO LOCAL DE EDUCACION PÚBLICA DE ATACAMA,OTRO MUNICIPAL
62000820-6,SERVICIO LOCAL DE EDUCACION PUBLICA DE VALPARAISO,OTRO MUNICIPAL
62000940-7,CENTRO DE SALUD FAMILIAR PUERTO AYSEN,OTRO MUNICIPAL
65000083-8,FUNDACION EDUCACIONAL COLEGIO NUESTRA SENORA DEL CARMEN DE PADRE LAS CASAS,OTRO MUNICIPAL
65000241-5,FUNDACION EDUCACIONAL COLEGIO SAN PEDRO NOLASCO DE SANTIAGO,OTRO MUNICIPAL
65000269-5,CORPORACION EDUCACIONAL ALDEA RURAL,OTRO MUNICIPAL
65002875-9,CORPORACION EDUCACIONAL PARA EL DESARROLLO INTEGRACION Y AUTONOMIA DE NINOS NINA,OTRO MUNICIPAL
65002989-5,FUNDACION EDUCACIONAL PADRE MARIANO AVELLANA,OTRO MUNICIPAL
65003612-3,FUNDACION EDUCACIONAL LICEO ALEMAN DEL VERBO DIVINO,OTRO MUNICIPAL
65005263-3,FUNDACION EDUCACIONAL MONTAHUE,OTRO MUNICIPAL
65005394-K,COMITE CEMENTERIO DE CONARIPE,OTRO MUNICIPAL
65005530-6,FUND EDUCACIONAL Y CULTURAL LA FUENTE,OTRO MUNICIPAL
65005804-6,FUNDACION EDUCACIONAL COLEGIO NUESTRA SENORA DE LA PRESENTACION,OTRO MUNICIPAL
65007835-7,CORPORACION MUNICIPAL DE DEPORTES Y RECREACION DE PARRAL,CORP
65008614-7,FONDO DE SALUD NACIONAL DE LOS TRABAJADORES DE LA ASOCIACION CHILENA DE SEGURIDA,OTRO MUNICIPAL
65009077-2,FUNDACION CULTURAL EDUCACIONAL SOCIAL Y COMUNICACIONAL PARA VIVIR EN UN MUNDO ME,OTRO MUNICIPAL
65010646-6,FUNDACION DE AEROBIOLOGIA MEDIO AMBIENTE Y SALUD,OTRO MUNICIPAL
65012617-3,CORPORACION MUNICIPAL DE DEPORTES Y RECREACION DE RECOLETA,CORP
65013598-9,FUNDACION EDUCACIONAL BENEFICA SEMINARIO MAYOR PADRES DE SCHOENSTATT,OTRO MUNICIPAL
65014236-5,CEMENTERIO PARROQUIAL PADRE EVARISTO LONGAVI,OTRO MUNICIPAL
65015889-K,SOCIEDAD EDUCACIONAL VICTOR DOMINGO SILVA LIMITADA,OTRO MUNICIPAL
65016293-5,INSTITUTO NACIONAL DE SEGURIDAD SOCIAL CHILENO,OTRO MUNICIPAL
65020022-5,FUNDACION EDUCACIONAL CASABIERTA COANIQUEM,OTRO MUNICIPAL
65020623-1,CORPORACION DE LA EDUCACION APTUS CHILE,OTRO MUNICIPAL
65020625-8,FUNDACION EDUCACIONAL MADRIGAL,OTRO MUNICIPAL
65020712-2,FUNDACION EDUCACIONAL COMPANIA DE MARIA-APOQUINDO,OTRO MUNICIPAL
65021073-5,FUNDACION EDUCACIONAL COLEGIO SANTA ISABEL,OTRO MUNICIPAL
65021434-K,FUNDACION EDUCACIONAL EMEJOTA Y JOTACE,OTRO MUNICIPAL
65021637-7,FUNDACION DE EDUCACION BEATO CEFERINO,OTRO MUNICIPAL
65021958-9,SINDICATO DE EMPRESA CORPORACION MUNICIPAL DE DESARROLLO SOCIAL DE PUDAHUEL,CORP
65022501-5,DEPARTAMENTO DE BIENESTAR DE LOS TRABAJADORES DE CORREOS DE CHILE,OTRO MUNICIPAL
65023386-7,FUNDACION EDUCACIONAL COLEGIO SAN FRANCISCO DE ASIS DE LA FLORIDA,OTRO MUNICIPAL
65023622-K,FUNDACION EDUCACION 2020,OTRO MUNICIPAL
65024244-0,SINDICATO REGIONAL DE TRABAJADORES DE LA EMPRESA ASOCIACION CHILENA DE SEGURIDAD,OTRO MUNICIPAL
65024466-4,FUNDACION EDUCACIONAL COANIL,OTRO MUNICIPAL
65024557-1,RED DE PROFESORES DE EDUCACION FISICA Y TECNICOS DEPORTIVOS DE AYSEN,OTRO MUNICIPAL
65025748-0,CONSEJO DE DESARROLLO DE SALUD MISION SAN JUAN,OTRO MUNICIPAL
65026694-3,FUNDACION EDUCACIONAL ELECTROCOOP,OTRO MUNICIPAL
65027533-0,FUNDACION EDUCACIONAL INSTITUTO SANTA MARIA,OTRO MUNICIPAL
65027559-4,FUNDACION EDUCACIONAL INMACULADA MADRE DE DIOS,OTRO MUNICIPAL
65028361-9,FUNDACION EDUCACIONAL LICEO POLITECNICO EL SENOR DE RENCA,OTRO MUNICIPAL
65029257-K,CORPORACION MUNICIPAL DE DEPORTES Y RECREACION PANGUIPULLI,CORP
65029393-2,CENTRO DE EDUCACION Y TRABAJO DEL CENTRO DE DETENCION PREVENTIVA DE PUENTE ALTO,OTRO MUNICIPAL
65030216-8,FUNDACION EDUCACIONAL CARDENAL CARO,OTRO MUNICIPAL
65030348-2,CEMENTERIO PARROQUIAL SAN JOSE DE PARRAL,OTRO MUNICIPAL
65030506-K,CENTRO DE APOYO A LA SALUD PREVENCION VINA,OTRO MUNICIPAL
65030680-5,CLUB DEPORTIVO MUNICIPALIDAD DE NATALES,MUNI
65031059-4,FUNDACION DE LAS ARTES Y EDUCACION,OTRO MUNICIPAL
65031550-2,FUND EDUCACIONAL SAN VICENTE,OTRO MUNICIPAL
65031891-9,"FUNDACION EDUCACIONAL ""INSTITUTO INMACULADA CONCEPCION, VALDIVIA""",OTRO MUNICIPAL
65031932-K,"FUNDACION EDUCACIONAL COLEGIO NUESTRA SENORA DEL CARMEN, VALDIVIA",OTRO MUNICIPAL
65032886-8,FUNDACION EDUCACIONAL DE LA IGLESIA METODISTA DE CHILE JUAN WESLEY,OTRO MUNICIPAL
65032892-2,FUNDACION EDUCACIONAL DE LA IGLESIA METODISTA DE CHILE LOS ANDES,OTRO MUNICIPAL
65032993-7,FUNDACION EDUCACIONAL DE LA IGLESIA METODISTA DE CHILE LEYLA WATER HOUSE,OTRO MUNICIPAL
65032996-1,FUNDACION EDUCACIONAL DE LA IGLESIA METODISTA DE CHILE ANA ZOTTELE CLARK.,OTRO MUNICIPAL
65033043-9,FUNDACION EDUCACIONAL DE LA IGLESIA METODISTA DE CHILE SWEET MEMORIAL,OTRO MUNICIPAL
65033052-8,FUNDACION EDUCACIONAL DE LA IGLESIA METODISTA DE CHILE WILLIAM TAYLOR,OTRO MUNICIPAL
65033056-0,FUNDACION EDUCACIONAL DE LA IGLESIA METODISTA DE CHILE OBISPO ISAIAS GUTIERREZ V,OTRO MUNICIPAL
65033059-5,FUNDACION EDUCACIONAL DE LA IGLESIA METODISTA DE CHILE IQUIQUE ENGLISH COLLEGE,OTRO MUNICIPAL
65033068-4,FUNDACION EDUCACIONAL DE LA IGLESIA METODISTA DE CHILE RAIMUNDO VALENZUELA ARMS,OTRO MUNICIPAL
65033077-3,"FUNDACION EDUCACIONAL DE LA IGLESIA METODISTA DE CHILE ""LA TRINIDAD""",OTRO MUNICIPAL
65033319-5,CORPORACION DE DESARROLLO SOCIAL Y EDUCACIONAL LEONARDO DA VINCI,OTRO MUNICIPAL
65033393-4,CEMENTERIO PARROQUIAL DE LA SANTA CRUZ,OTRO MUNICIPAL
65033486-8,FUNDACION EDUCACIONAL COLEGIO SAN JOSE,OTRO MUNICIPAL
65033568-6,FUNDACION EDUCACIONAL COLEGIO INMACULADA CONCEPCION DE MARIA,OTRO MUNICIPAL
65033617-8,FUNDACION EDUCACIONAL COLEGIO MARIA INMACULADA,OTRO MUNICIPAL
65033812-K,CORPORACION MUNICIPAL DE DEPORTES Y RECREACION DE LA COMUNA DE PADRE HURTADO,CORP
65033938-K,FUNDACION EDUCACIONAL COLEGIO PARROQUIAL SAN AGUSTIN DE QUIRIHUE,OTRO MUNICIPAL
65034053-1,FUNDACION EDUCACIONAL DE LA IGLESIA METODISTA DE CHILE LA GRANJA,OTRO MUNICIPAL
65034357-3,FUNDACION EDUCACIONAL SAN FRANCISCO DE LA ARAUCANIA,OTRO MUNICIPAL
65034590-8,COORDINADORA DE AGRUPACIONES DE SALUD MENTAL DE TALCAHUANO COASAM,OTRO MUNICIPAL
65034592-4,FUNDACION EDUCACIONAL DE LA IGLESIA METODISTA DE CHILE REVERENDO SAMUEL ARAYA RU,OTRO MUNICIPAL
65034674-2,FUNDACION EDUCACIONAL PADRE HERNAN ALESSANDRI,OTRO MUNICIPAL
65035094-4,FUNDACION EDUCACIONAL AMOR DE SAN ANDRES,OTRO MUNICIPAL
65035190-8,FUND SALUD VIDA Y ACCION SOCIAL SAVIA,OTRO MUNICIPAL
65035223-8,FUNDACION EDUCACIONAL SAN NICOLAS DE TOLENTINO,OTRO MUNICIPAL
65035631-4,ORGANIZACION CULTURAL EN TRANSITO,OTRO MUNICIPAL
65035870-8,VITASALUD,OTRO MUNICIPAL
65036404-K,FUNDACION EDUCACIONAL INMACULADA CONCEPCION,OTRO MUNICIPAL
65038788-0,FUNDACION EDUCACIONAL SANTO TOMAS DE VILLANUEVA,OTRO MUNICIPAL
65038856-9,FUNDACION EDUCACIONAL COLEGIO SAN FRANCISCO DE ASIS DE ANGOL,OTRO MUNICIPAL
65039000-8,CENTRO DE EDUCACION Y TRABAJO DEL C C P DE CURICO,OTRO MUNICIPAL
65039239-6,CORPORACION MUNICIPAL DE DEPORTES DE IQUIQUE,CORP
65040609-5,FUNDACION EDUCACIONAL COLEGIO PARROQUIAL SAN JOSE DE CHILLAN,OTRO MUNICIPAL
65040639-7,ASOCIACION DE ENFERMEROS Y ENFERMERAS DEL SERVICIO DE SALUD METROPOLITANO CENTRA,OTRO MUNICIPAL
65040656-7,ORGANIZACION NO GUBERNAMENTAL DE DESARROLLO LUDIUM EDUCACION Y CULTURA,OTRO MUNICIPAL
65041104-8,FUNDACION DE SALUD LOS NOGALES,OTRO MUNICIPAL
65041711-9,FUNDACION EDUCACIONAL SANTA MARIA MAZZARELLO,OTRO MUNICIPAL
65042367-4,FUNDACION EDUCACIONAL CENTRO EDUCACIONAL MENESIANO DE CULIPRAN,OTRO MUNICIPAL
65042898-6,FUNDACION EDUCACIONAL PADRE LUIS QUERBES DE VILLA ALEMANA,OTRO MUNICIPAL
65042922-2,FUNDACION EDUCACIONAL EL VEDRA,OTRO MUNICIPAL
65042966-4,FUNDACION EDUCACIONAL SAN VIATOR DE OVALLE,OTRO MUNICIPAL
65043086-7,"CORPORACION DE EDUCACION , INVESTIGACION Y MANEJO MEDICO EN FIBROSIS QUISTICA Y",OTRO MUNICIPAL
65043504-4,FUNDACION EDUCACIONAL CRISTIANA ADONAY,OTRO MUNICIPAL
65044065-K,FUNDACION EDUCACIONAL PROTECTORA DE LA INFANCIA,OTRO MUNICIPAL
65044324-1,FUNDACION EDUCACIONAL COLEGIO SAN VIATOR DE MACUL,OTRO MUNICIPAL
65044442-6,FUNDACION EDUCACIONAL CRECER CON TODOS,OTRO MUNICIPAL
65044476-0,FUNDACION EDUCACIONAL COLEGIO DE HUMANIDADES,OTRO MUNICIPAL
65044551-1,FUNDACION EDUCACIONAL COLEGIO SAN DAMIAN DE MOLOKAI DE VALPARAISO,OTRO MUNICIPAL
65044579-1,"FUNDACION EDUCACIONAL ""COLEGIO MADRE PAULINA DE CHIGUAYANTE""",OTRO MUNICIPAL
65044582-1,FUNDACION EDUCACIONAL COLEGIO MARIA INMACULADA DE CONCEPCION,OTRO MUNICIPAL
65044648-8,FUNDACION EDUCACIONAL COLEGIO INSTITUTO DEL PUERTO,OTRO MUNICIPAL
65044735-2,CORPORACION EDUCACIONAL DE LA SOCIEDAD NACIONAL DE AGRICULTURA FG,OTRO MUNICIPAL
65045582-7,FUNDACION EDUCACIONAL MONTEPATRIA,OTRO MUNICIPAL
65045689-0,"FUNDACION EDUCACIONAL CRISTIANA ""PETRA""",OTRO MUNICIPAL
65045780-3,FUNDACION EDUCACION POPULAR EN SALUD,OTRO MUNICIPAL
65045929-6,FUNDACION EDUCACIONAL LICEO MENESIANO SAGRADO CORAZON DE LLAY LLAY,OTRO MUNICIPAL
65046526-1,FUNDACION EDUCACIONAL DIDASCALIO,OTRO MUNICIPAL
65046790-6,ASOC DE FUNCIONARIOS DE SALUD MUNIC.DR.JOAQUIN CONTRERAS S.,OTRO MUNICIPAL
65046829-5,FUNDACION EDUCACIONAL BAHA I ROOT,OTRO MUNICIPAL
65048541-6,UNION COMUNAL DE COMITES DE SEGURIDAD RURAL DE GORBEA,OTRO MUNICIPAL
65049073-8,CENTRO DE EDUCACION Y TRABAJO DEL CDP TALAGANTE,OTRO MUNICIPAL
65049195-5,FUNDACION EDUCACIONAL ALMALUZ,OTRO MUNICIPAL
65049791-0,FUNDACION EDUCACIONAL CHOSHUENCO,OTRO MUNICIPAL
65050247-7,FUNDACION EDUCACIONAL ESCUELA SAN FRANCISCO DE ASIS DE ERCILLA,OTRO MUNICIPAL
65050731-2,ORGANIZACION COMUNITARIA FUNCIONAL PROSEGURIDAD,OTRO MUNICIPAL
65051088-7,ASOCIACION DE FUNCINARIOS DE LA SALUD FENATS HISTORICA HOSPITAL DE IQUIQUE,OTRO MUNICIPAL
65051755-5,CORPORACION EDUCACIONAL SOCIEDAD EVANGELICA DE CHILE,OTRO MUNICIPAL
65052288-5,CONDOMINIO DEPARTAMENTOS JARDINES DEL SOL,OTRO MUNICIPAL
65053110-8,FUND EDUCACIONAL MONSENOR MANUEL LARRAIN DE TALCA,OTRO MUNICIPAL
65053120-5,FUND EDUCACIONAL COLEGIO INTEGRADO DE TALCA SAN PIO DECIMO,OTRO MUNICIPAL
65053191-4,FUNDACION EDUCACIONAL COLEGIO LEONARDO MURIALDO DE VALPARAISO,OTRO MUNICIPAL
65054660-1,FUNDACION GIRACUENTOS CULTURA Y ALEGRIA EN SALUD,OTRO MUNICIPAL
65054831-0,CORPORACION MUNICIPAL DE DEPORTES RECREACION Y CULTURAL DE COQUIMBO,CORP
